video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations
7494,0.8597002397708507,33,0.7824966899827851,12
7495,0.8830404983555563,34,0.7706270044180981,10
7496,0.8408056593675799,32,0.7840134705913073,13
7497,0.8906428032140404,33,0.7853529487630928,10
7498,0.8556063821137171,33,0.7742099330708836,10
7499,0.8087903957734653,33,0.7695504356369206,13
7500,0.8663391093619093,33,0.7710286715667508,10
7502,0.8173566990429931,43,0.7519043073468717,15
7503,0.8416259346346902,33,0.7972007601243623,11
7504,0.8723392200629657,33,0.7758828185262062,15
7505,0.8735013286412505,38,0.7974799688653788,10
7506,0.8650601446315099,34,0.785041500234348,10
7507,0.8756229674070604,34,0.7921225057463344,12
7508,0.8641847915986832,33,0.778776220215455,14
7510,0.8618929491153631,33,0.7857763776513909,11
7511,0.9133769582511221,34,0.8446263649127927,18
7513,0.8569275143449867,34,0.7864601264337774,19
7515,0.8911202011315208,33,0.7764509040237425,13
7516,0.8751182794645731,34,0.7576957194911005,11
7517,0.8404270744811642,33,0.7462503453492162,13
7518,0.8548192669840096,33,0.7708503237523777,10
7519,0.88258602387095,32,0.7604945689348054,10
7520,0.8367269528356981,33,0.7617984040514413,14
7521,0.9007618018735988,34,0.7827907266356502,14
7522,0.8879460193617555,33,0.7709519129824894,16
7523,0.8583189005227039,34,0.7904569052404347,14
7524,0.8906341017281323,50,0.7823497058894333,22
7525,0.8579844453371314,42,0.7737884557691516,10
7526,0.8512949491434962,31,0.7608306653906963,20
7527,0.87336842864301,33,0.7688015533191576,17
7528,0.8671312041849603,32,0.7905654473613347,10
7530,0.8354132137129674,34,0.7626819068765093,11
7531,0.8517045381449752,33,0.7510664136559623,14
7532,0.841154561185205,33,0.7654681293292914,14
7533,0.8240121053610336,34,0.756708138057808,9
7534,0.8510560716766954,34,0.775428011511495,10
7535,0.8461617390170478,34,0.7692852327685451,10
7536,0.8630872451448318,46,0.7645051798699878,11
7538,0.8384127814783348,34,0.7476354622479423,10
7539,0.861184742885546,32,0.7827983094604939,10
7540,0.9114081241269434,33,0.7923215110740853,10
7541,0.8570906788638188,35,0.7666444506386995,10
7542,0.8850106443495329,33,0.7798844741034706,12
7543,0.862445016811177,33,0.7982725352527728,12
7544,0.8423740102693582,34,0.7676728246081286,11
7545,0.8621524649327789,33,0.796690736931715,13
7546,0.8432987495934201,34,0.7528938154632981,14
7548,0.8839431285888659,38,0.7907764696032147,9
7549,0.851633494534033,34,0.7724760858109718,13
7550,0.880848385193327,56,0.7899093538613581,21
7552,0.8357504334430279,32,0.7677835620259923,16
7554,0.8718232053611622,51,0.7806816092718217,24
7555,0.8461017128804165,55,0.7625204862875041,13
7556,0.891091526013174,33,0.7884498412256109,19
7558,0.8539547327700744,33,0.7759813077485704,16
7560,0.8483410567891445,33,0.772734584107084,12
7562,0.856610758473328,33,0.7670331964974916,10
7563,0.8179325744952216,32,0.7662238275037244,16
7565,0.8988684071303993,34,0.7837962728345869,10
7566,0.8849513189994423,34,0.7839301580540887,13
7567,0.8466195234681608,32,0.7596589093102138,12
